gender,category,grade_10,grade_12,graduation_score,graduation_type,admission_test_score,work_exp_months,IIM_A,IIM_B,IIM_C,IIM_I,IIM_K,IIM_L
Female,General,93.1,91.8,80.1,Non-Engineer,98.38,0,0,0,0,0,0,0
Female,General,94.5,86.2,91,Non-Engineer,84.48,0,0,0,0,0,0,0
Female,General,95.8,95.8,82.2,Non-Engineer,88.11,0,0,0,0,0,0,0
Male,SC,93.4,76.3,75,Engineer,57.93,0,0,0,0,0,0,0
Male,General,96,86.5,72.5,Engineer,90.97,37,0,0,0,0,0,0
Female,General,83.7,76.6,74.4,Non-Engineer,87.27,0,0,0,0,0,0,0
Male,NC_OBC,87.6,96.5,78.7,Engineer,97.52,27,1,0,1,0,1,0
Male,General,87.5,85.7,63.5,Non-Engineer,96.37,0,0,0,0,0,0,0
Male,General,93,84.8,78.5,Engineer,97.72,36,0,0,0,0,0,0
Female,General,95.7,89.8,83.4,Non-Engineer,94.24,0,0,0,0,0,0,0
Female,General,91,83.5,66.9,Engineer,98.59,30,0,0,0,0,1,0
Male,NC_OBC,94.5,100,73.5,Engineer,89.1,13,0,0,0,0,0,0
Male,General,79.1,70.5,65.7,Engineer,85.7,32,0,0,0,0,0,0
Male,NC_OBC,78.5,83.2,60.1,Engineer,98.21,18,0,0,0,0,1,1
Male,NC_OBC,89.3,72.2,67.3,Non-Engineer,93.4,0,0,0,0,0,0,0
Male,NC_OBC,95,91.2,69.2,Engineer,96.65,13,0,0,0,1,1,1
Male,General,89,91.3,73.1,Non-Engineer,91.78,10,0,0,0,0,0,0
Female,General,89.3,87,90.3,Non-Engineer,98.1,0,0,0,0,0,0,0
Female,General,91.2,89.8,87.6,Engineer,98.88,2,0,0,1,0,1,0
Male,General,81.7,70.8,62.5,Engineer,61.52,0,0,0,0,0,0,0
Male,General,86.8,94,76.3,Engineer,99.8,13,0,0,0,0,0,1
Male,General,93.1,90.4,82.3,Engineer,98.03,0,0,0,0,0,0,0
Female,NC_OBC,93,92.8,59.9,Engineer,79.66,16,0,0,0,0,0,0
Male,General,96,88.3,85.8,Engineer,96.43,24,0,0,0,1,0,0
Male,General,95.2,85.2,52,Engineer,83.74,0,0,0,0,0,0,0
Male,General,95,95.6,72.4,Engineer,95.58,37,0,0,0,1,0,0
Male,General,93.2,89.4,74.8,Non-Engineer,97.81,0,1,0,0,0,1,1
Male,General,95,92.8,95.2,Engineer,98.35,23,0,1,0,0,0,0
Female,General,88.7,77.3,78.7,Engineer,88.83,35,0,0,0,0,0,0
Male,General,80.7,75.7,72,Engineer,94.81,25,0,0,0,0,0,0
Male,General,90.4,90.9,80.9,Non-Engineer,98.11,13,0,0,0,1,0,1
Male,EWS,90.9,83.4,79.2,Engineer,94.66,25,0,1,0,0,0,0
Female,General,93.1,95.6,79.3,Non-Engineer,98.81,0,0,0,0,1,1,0
Male,General,87,87.4,68.6,Engineer,97.33,0,0,0,0,0,0,1
Male,General,89.3,86.6,78.9,Engineer,96.24,0,0,0,0,0,0,0
Male,General,95,94.2,83.5,Engineer,98.26,38,0,1,0,1,0,0
Female,General,95.6,91.4,87.2,Engineer,73.37,24,0,0,0,0,0,0
Female,SC,84.5,67.8,61.9,Engineer,82.39,21,0,0,0,0,1,1
Female,General,91.5,79.7,84.5,Non-Engineer,76.7,0,0,0,0,0,0,0
Male,General,83.6,83.2,69.6,Engineer,96.3,18,0,0,0,0,0,0
Male,General,92.4,86.5,85.2,Engineer,84.45,19,0,0,0,0,0,0
Female,SC,73.5,65.6,75.2,Engineer,80.74,0,0,0,0,0,0,1
Female,General,94.2,92.8,70,Non-Engineer,98.31,0,0,0,0,1,0,0
Male,General,93.4,91.2,73.8,Non-Engineer,98.15,0,0,0,0,1,0,0
Male,General,88,84.9,75.8,Non-Engineer,92.15,25,0,0,0,0,0,0
Female,General,95,96.4,74.3,Non-Engineer,96.61,21,1,0,0,0,0,0
Male,General,93.9,88.7,83.3,Engineer,97.9,30,0,0,0,0,0,0
Male,NC_OBC,99,97.7,100,Engineer,90.82,21,0,1,0,1,1,1
Male,General,93,94,80.6,Engineer,99.32,24,0,1,0,0,1,1
Male,General,94,90,72.1,Engineer,95.03,25,0,0,0,0,0,0
Female,General,95,94.2,82.7,Non-Engineer,88.55,0,0,0,0,0,0,0
Female,General,87.3,87,83.2,Engineer,90.36,24,0,0,0,0,0,0
Male,General,95,90.5,72.3,Engineer,95.54,0,0,0,0,0,0,0
Male,NC_OBC,96.2,90,78.2,Engineer,88.35,28,0,1,0,1,0,1
Female,General,93.6,83.3,75.3,Engineer,94.1,35,0,0,0,0,1,0
Female,ST,93.6,94.6,84.3,Non-Engineer,87.25,0,1,1,0,1,0,0
Male,General,93.1,87.2,77.2,Engineer,95.5,25,0,0,0,0,0,0
Female,NC_OBC,92.8,92,76.5,Engineer,95.22,0,0,1,0,1,1,1
Female,NC_OBC,98,89.8,85,Engineer,95.12,0,0,0,0,1,0,1
Female,General,82.7,84,77.5,Non-Engineer,88.45,0,0,0,0,0,0,0
Male,General,95,94.8,74.7,Engineer,91.96,24,0,0,0,0,0,0
Male,General,95,93.2,84.2,Engineer,96.11,14,0,0,0,0,0,0
Female,General,88.9,79,74.7,Non-Engineer,95.73,0,0,0,0,0,0,0
Female,NC_OBC,86.7,84.2,75,Non-Engineer,82,0,0,0,0,0,0,0
Female,General,91.1,80,78.7,Engineer,98.91,25,0,0,1,0,1,1
Male,NC_OBC,80.8,75.4,73,Non-Engineer,76.97,50,0,0,0,0,0,0
Female,General,93.2,93.2,65,Non-Engineer,95.66,0,1,0,0,0,0,1
Female,General,98,97.8,78.1,Engineer,98.65,24,0,0,0,0,1,1
Male,General,95,90.6,77,Engineer,95.27,35,0,0,0,0,0,0
Male,SC,74.1,70.5,67.8,Engineer,85.11,43,0,0,0,0,0,1
Male,General,93.5,89.5,65,Engineer,81.18,0,0,0,0,0,0,0
Female,NC_OBC,90,92.9,80.9,Engineer,91.37,25,0,0,0,0,0,0
Male,ST,91.2,72.2,63.1,Engineer,47.65,0,0,0,0,0,0,0
Female,General,95,92.8,74,Engineer,91.11,26,0,0,0,0,0,0
Female,SC,83.7,90.1,62.5,Engineer,78.59,8,0,0,0,1,1,0
Male,General,91.2,90,67.7,Engineer,97.23,1,0,0,0,0,0,0
Male,General,86.7,80.3,66.4,Non-Engineer,97.85,0,0,0,0,0,0,0
Male,General,83.9,93.2,74.1,Non-Engineer,96.28,15,0,0,0,0,0,0
